Stock,Predecision
AAPL,FALSE
MSFT,FALSE
AMZN,FALSE
GOOG,FALSE
GOOGL,FALSE
AMAG,#N/A
FB,FALSE
BABA,FALSE
ALRS,#N/A
TSLA,FALSE
BRK.A,FALSE
BRK.B,FALSE
TSM,FALSE
V,FALSE
VALE,FALSE
WMT,FALSE
JNJ,FALSE
JPM,FALSE
AMJ,#N/A
PBR,#N/A
PBR.A,#N/A
MA,FALSE
PG,FALSE
NVDA,FALSE
SPY,#N/A
UNH,FALSE
HD,TRUE
DIS,#N/A
ITUB,FALSE
PYPL,FALSE
VZ,FALSE
BAC,FALSE
CMCSA,FALSE
ADBE,FALSE
IVV,#N/A
KO,FALSE
ABEV,#N/A
TM,FALSE
NVS,FALSE
PFE,FALSE
NFLX,FALSE
INTC,FALSE
BBD,FALSE
BBDO,#N/A
T,FALSE
TBB,#N/A
TBC,#N/A
MRK,FALSE
CRM,FALSE
PEP,FALSE
ASML,FALSE
ABT,FALSE
ABBV,FALSE
TMO,FALSE
CSCO,FALSE
ORCL,FALSE
CVX,#N/A
PDD,#N/A
QCOM,FALSE
XOM,FALSE
NKE,FALSE
ACN,FALSE
AVGO,FALSE
AVGOP,#N/A
COST,FALSE
TMUS,FALSE
DHR,FALSE
BSBR,FALSE
MCD,FALSE
VTI,#N/A
GMAB,#N/A
MDT,FALSE
SAP,FALSE
TXN,FALSE
UL,FALSE
LFC,FALSE
HON,FALSE
QQQ,#N/A
BBL,FALSE
RDS.A,#N/A
RDS.B,#N/A
BHP,FALSE
NEE,FALSE
LLY,FALSE
AZN,FALSE
BMY,#N/A
UNP,FALSE
CHTR,FALSE
AMGN,FALSE
JD,TRUE
LIN,#N/A
BA,#N/A
SNY,FALSE
SHOP,FALSE
PM,FALSE
HDB,TRUE
NVO,FALSE
RIO,FALSE
WFC,FALSE
CHL,FALSE
C,FALSE
TOT,#N/A
SBUX,FALSE
UPS,TRUE
BUD,#N/A
SNE,FALSE
MS,FALSE
MLPY,#N/A
RY,FALSE
ZM,#N/A
HSBC,#N/A
IBM,FALSE
PTR,FALSE
AMD,FALSE
RTX,#N/A
LOW,TRUE
BLK,FALSE
SNOW,#N/A
LMT,FALSE
NOW,FALSE
LOMA,#N/A
AMT,FALSE
AXP,FALSE
TD,FALSE
MMM,TRUE
CAT,FALSE
SE,#N/A
CVS,FALSE
INTU,FALSE
SCHW,FALSE
GE,FALSE
GSK,FALSE
SQ,FALSE
DEO,FALSE
FIS,#N/A
ISRG,FALSE
SYK,FALSE
EL,FALSE
TGT,TRUE
BTI,FALSE
MDLZ,FALSE
GS,FALSE
SPGI,TRUE
MU,FALSE
AMAT,FALSE
ANTM,FALSE
TJX,FALSE
DE,TRUE
CI,FALSE
FISV,FALSE
MELI,#N/A
CNI,FALSE
FDX,FALSE
GILD,FALSE
MO,FALSE
BP,#N/A
ZTS,FALSE
ADP,FALSE
VWO,#N/A
BX,FALSE
VIV,FALSE
BEKE,#N/A
PLD,FALSE
CL,FALSE
SNP,FALSE
LRCX,FALSE
SUZ,#N/A
SNAP,#N/A
CCI,FALSE
BDX,FALSE
BDXB,#N/A
GLD,#N/A
CSX,FALSE
CB,FALSE
AGG,#N/A
USB,FALSE
ENB,FALSE
ENBA,#N/A
NTCO,#N/A
INFY,FALSE
DUK,FALSE
DUKB,#N/A
DUKH,#N/A
CME,FALSE
IWF,#N/A
EFA,#N/A
EFV,#N/A
TFC,FALSE
SO,FALSE
SOJB,#N/A
SOJC,#N/A
SOJD,#N/A
SOJE,#N/A
ITW,TRUE
ECL,#N/A
BAM,#N/A
SHW,TRUE
BNS,FALSE
GM,FALSE
EQIX,FALSE
ATVI,FALSE
VUG,#N/A
D,FALSE
DRUA,#N/A
ICE,FALSE
NSC,FALSE
ADSK,FALSE
CEPU,#N/A
APD,FALSE
PNC,FALSE
NTES,FALSE
MRNA,#N/A
GPN,FALSE
SPOT,#N/A
MMC,FALSE
VRTX,FALSE
MUFG,FALSE
VMW,FALSE
ABB,FALSE
NIO,#N/A
IJH,#N/A
CP,FALSE
SAN,#N/A
TEAM,#N/A
WBK,FALSE
VTV,#N/A
HMC,FALSE
HUM,FALSE
EQNR,#N/A
DELL,#N/A
ZTO,FALSE
MCO,FALSE
EW,FALSE
HCA,FALSE
WDAY,#N/A
ADI,FALSE
IWM,#N/A
EBR,#N/A
EBR.B,#N/A
REGN,FALSE
PGR,FALSE
DG,FALSE
TWLO,#N/A
NOC,FALSE
ILMN,FALSE
IJR,#N/A
WM,FALSE
AMX,FALSE
AMOV,TRUE
BMLP,#N/A
BMO,FALSE
BNKD,#N/A
BNKO,#N/A
BNKU,#N/A
BNKZ,#N/A
FNGD,#N/A
FNGO,#N/A
FNGS,#N/A
FNGU,#N/A
FNGZ,#N/A
GNAF,#N/A
KNAB,#N/A
MJJ,#N/A
MJO,#N/A
NRGD,#N/A
NRGO,#N/A
NRGU,#N/A
NRGZ,#N/A
YGRN,#N/A
BSX,FALSE
BIDU,FALSE
LULU,FALSE
DD,#N/A
AON,FALSE
EMR,FALSE
NEM,FALSE
IBN,FALSE
PHG,FALSE
ETN,TRUE
COP,#N/A
SCCO,FALSE
VOD,FALSE
KMB,FALSE
VIG,#N/A
MNST,FALSE
LVS,#N/A
NXPI,#N/A
RELX,FALSE
EPD,FALSE
DOCU,#N/A
GD,FALSE
MAR,FALSE
ROP,TRUE
PUK,#N/A
MET,FALSE
CTSH,FALSE
CEO,TRUE
TRP,FALSE
KDP,FALSE
TTD,FALSE
COF,FALSE
IWD,#N/A
GOLD,FALSE
CVNA,#N/A
KHC,#N/A
PINS,#N/A
PLTR,#N/A
AEP,FALSE
AEPPL,#N/A
AEPPZ,#N/A
ALGN,FALSE
SMFG,FALSE
STZ.B,#N/A
STZ,FALSE
ROST,FALSE
VEEV,FALSE
LHX,FALSE
KLAC,FALSE
U,#N/A
DOW,#N/A
BCE,FALSE
TRI,FALSE
NGG,FALSE
EXC,FALSE
BAX,FALSE
SYY,#N/A
APH,FALSE
RACE,FALSE
TEL,#N/A
ING,FALSE
PSA,FALSE
IDXX,FALSE
RKT,#N/A
MTCH,#N/A
CM,FALSE
E,#N/A
CTAS,FALSE
STM,FALSE
ERIC,FALSE
TWTR,#N/A
DLR,FALSE
BIIB,FALSE
ROKU,#N/A
WBA,FALSE
MCHP,FALSE
CNC,FALSE
LQD,#N/A
CMG,FALSE
EA,FALSE
BF.B,FALSE
BF.A,FALSE
GGB,FALSE
INFO,#N/A
SRE,FALSE
GIS,FALSE
NTR,#N/A
CRWD,#N/A
LYG,FALSE
